   DEBUG -- 2017-10-25 20:19:55,677 -- INIT: IoManagerABC
   DEBUG -- 2017-10-25 20:19:55,678 -- INIT: IoManagerStock
   DEBUG -- 2017-10-25 20:36:41,184 -- INIT: IoManagerABC
   DEBUG -- 2017-10-25 20:36:41,184 -- INIT: IoManagerStock
   DEBUG -- 2017-10-25 20:37:43,251 -- INIT: IoManagerABC
   DEBUG -- 2017-10-25 20:37:43,251 -- INIT: IoManagerStock
   DEBUG -- 2017-10-25 20:38:49,727 -- INIT: IoManagerABC
   DEBUG -- 2017-10-25 20:38:49,727 -- INIT: IoManagerStock
   DEBUG -- 2017-10-25 20:43:19,571 -- INIT: IoManagerABC
   DEBUG -- 2017-10-25 20:43:19,571 -- INIT: IoManagerStock
   DEBUG -- 2017-10-25 20:43:22,708 -- _add_command: UP
   DEBUG -- 2017-10-25 20:43:24,496 -- _add_command: UP
   DEBUG -- 2017-10-25 20:43:24,669 -- _add_command: UP
   DEBUG -- 2017-10-25 20:43:24,830 -- _add_command: UP
   DEBUG -- 2017-10-25 20:43:25,015 -- _add_command: UP
   DEBUG -- 2017-10-25 20:43:25,163 -- _add_command: UP
   DEBUG -- 2017-10-25 20:43:25,298 -- _add_command: UP
   DEBUG -- 2017-10-25 20:52:11,083 -- INIT: IoManagerABC
   DEBUG -- 2017-10-25 20:52:11,084 -- INIT: IoManagerStock
   DEBUG -- 2017-10-25 20:53:11,478 -- INIT: IoManagerABC
   DEBUG -- 2017-10-25 20:53:11,478 -- INIT: IoManagerStock
   DEBUG -- 2017-10-25 20:54:42,631 -- INIT: IoManagerABC
   DEBUG -- 2017-10-25 20:54:42,631 -- INIT: IoManagerStock
   DEBUG -- 2017-10-25 20:56:04,780 -- INIT: IoManagerABC
   DEBUG -- 2017-10-25 20:56:04,780 -- INIT: IoManagerStock
   DEBUG -- 2017-10-25 20:59:09,817 -- INIT: IoManagerABC
   DEBUG -- 2017-10-25 20:59:09,817 -- INIT: IoManagerStock
   DEBUG -- 2017-10-25 20:59:17,753 -- _add_command: UL
   DEBUG -- 2017-10-25 20:59:18,346 -- _add_command: UP
   DEBUG -- 2017-10-25 20:59:20,842 -- _add_command: UR
   DEBUG -- 2017-10-25 20:59:22,326 -- _add_command: ML
   DEBUG -- 2017-10-25 20:59:23,539 -- _add_command: CT
   DEBUG -- 2017-10-25 20:59:24,406 -- _add_command: MR
   DEBUG -- 2017-10-25 20:59:26,064 -- _add_command: DL
   DEBUG -- 2017-10-25 20:59:26,460 -- _add_command: DL
   DEBUG -- 2017-10-25 20:59:27,089 -- _add_command: DN
   DEBUG -- 2017-10-25 20:59:28,092 -- _add_command: DR
   DEBUG -- 2017-10-25 20:59:28,897 -- _add_command: BL
   DEBUG -- 2017-10-25 20:59:30,639 -- _add_command: BR
   DEBUG -- 2017-10-25 20:59:31,505 -- _add_command: TL
   DEBUG -- 2017-10-25 20:59:32,174 -- _add_command: TR
   DEBUG -- 2017-10-25 20:59:33,400 -- _add_command: A2
   DEBUG -- 2017-10-25 20:59:34,946 -- _add_command: A1
   DEBUG -- 2017-10-25 20:59:36,529 -- _add_command: A4
   DEBUG -- 2017-10-25 20:59:37,246 -- _add_command: A3
   DEBUG -- 2017-10-25 20:59:48,515 -- _add_command: UL
   DEBUG -- 2017-10-25 20:59:49,553 -- _add_command: UP
   DEBUG -- 2017-10-25 20:59:50,035 -- _add_command: CT
   DEBUG -- 2017-10-25 20:59:50,901 -- _add_command: DR
   DEBUG -- 2017-10-25 20:59:51,321 -- _add_command: MR
